Query_Number;Query_Text
1;['EFFECTS', 'CALCIUM', 'PHYSICAL', 'PROPERTIES', 'MUCUS', 'CF', 'PATIENTS']
2;['ONE', 'DISTINGUISH', 'EFFECTS', 'MUCUS', 'HYPERSECRETION', 'INFECTION', 'SUBMUCOSAL', 'GLANDS', 'RESPIRATORY', 'TRACT', 'CF']
3;['SALIVARY', 'GLYCOPROTEINS', 'CF', 'PATIENTS', 'DIFFERENT', 'NORMAL', 'SUBJECTS']
4;['LIPID', 'COMPOSITION', 'CF', 'RESPIRATORY', 'SECRETIONS']
5;['CF', 'MUCUS', 'ABNORMAL']
6;['EFFECT', 'WATER', 'THERAPEUTIC', 'AGENTS', 'PHYSICAL', 'PROPERTIES', 'VISCOSITY', 'ELASTICITY', 'SPUTUM', 'BRONCHIAL', 'SECRETIONS', 'CF', 'PATIENTS']
7;['MUCUS', 'GLYCOPROTEINS', 'DEGRADED', 'DIFFERENTLY', 'CF', 'PATIENTS', 'COMPARED', 'NORMAL', 'SUBJECTS']
8;['HISTOCHEMICAL', 'DIFFERENCES', 'DESCRIBED', 'NORMAL', 'CF', 'RESPIRATORY', 'EPITHELIA']
9;['ASSOCIATION', 'LIVER', 'DISEASE', 'CIRRHOSIS', 'VITAMIN', 'METABOLISM', 'CF']
10;['ROLE', 'VITAMIN', 'E', 'THERAPY', 'PATIENTS', 'CF']
11;['DIFFERENCE', 'MECONIUM', 'ILEUS', 'MECONIUM', 'PLUG', 'SYNDROME']
12;['ABNORMALITIES', 'AMINO', 'ACID', 'TRANSPORT', 'DESCRIBED', 'SMALL', 'BOWEL', 'CF', 'PATIENTS']
13;['CLINICAL', 'BIOCHEMICAL', 'FEATURES', 'PANCREATITIS', 'CF', 'PATIENTS']
14;['NON', 'INVASIVE', 'TESTS', 'PERFORMED', 'EVALUATION', 'EXOCRINE', 'PANCREATIC', 'FUNCTION', 'PATIENTS', 'CF']
15;['HEPATIC', 'COMPLICATIONS', 'MANIFESTATIONS', 'CF']
16;['GASTROINTESTINAL', 'COMPLICATIONS', 'CF', 'NEONATAL', 'PERIOD', 'EXCLUDE', 'LIVER', 'DISEASE', 'MECONIUM', 'ILEUS']
17;['EFFECTIVE', 'REGIMEN', 'USE', 'PANCREATIC', 'ENZYME', 'SUPPLEMENTS', 'TREATMENT', 'CF', 'PATIENTS']
18;['DIETARY', 'SUPPLEMENTATION', 'BILE', 'SALTS', 'THERAPEUTIC', 'BENEFIT', 'CF', 'PATIENTS']
19;['COMPLICATIONS', 'PANCREATIC', 'ENZYME', 'THERAPY', 'REPORTED', 'CF', 'PATIENTS']
20;['EFFECT', 'TREATMENT', 'CF', 'PATIENTS', 'ESSENTIAL', 'FATTY', 'ACID', 'SUPPLEMENTS']
21;['PANCREATIC', 'INSUFFICIENCY', 'CF', 'PATIENTS', 'AFFECT', 'ABILITY', 'ABSORB', 'METABOLIZE', 'IRON']
22;['FREQUENCY', 'CF', 'NON', 'CAUCASIAN', 'POPULATIONS']
23;['CONGENITAL', 'HEREDITARY', 'DISEASES', 'CONDITIONS', 'FOUND', 'ASSOCIATION', 'CF']
24;['CHARACTERISTICS', 'PATIENTS', 'CF', 'INCOMPLETELY', 'MANIFESTED']
25;['EVIDENCE', 'GENETIC', 'BASIS', 'CF', 'INVOLVES', 'ONE', 'GENE']
26;['HETEROZYGOTE', 'ADVANTAGE', 'CF']
27;['CONCORDANCE', 'CLINICAL', 'BIOCHEMICAL', 'MANIFESTATIONS', 'CF', 'SIBLING', 'PAIRS', 'CF']
28;['INCIDENCE', 'MALE', 'FERTILITY', 'CF']
29;['PATHOLOGY', 'REPRODUCTIVE', 'SYSTEM', 'MALE', 'FEMALE', 'CF']
30;['RESULTS', 'GENETIC', 'COUNSELING', 'FAMILIES', 'CHILDREN', 'CF']
31;['MAJOR', 'PSYCHOLOGICAL', 'SOCIAL', 'EFFECTS', 'CF', 'PATIENTS', 'FAMILIES']
32;['FACTORS', 'INFLUENCE', 'COMPLIANCE', 'PRESCRIBED', 'THERAPY', 'CF', 'PATIENTS']
33;['CONDITIONS', 'FACTORS', 'LEAD', 'ERRONEOUS', 'SWEAT', 'TESTS']
34;['ALTERNATIVE', 'TECHNIQUES', 'CLASSICAL', 'GIBSON', 'COOKE', 'QUANTITATIVE', 'PILOCARPINE', 'IONTOPHORESIS', 'TEST', 'TITRIMETRIC', 'ANALYSIS', 'CHLORIDE', 'AVAILABLE', 'SWEAT', 'TESTING', 'RELATIVE', 'ADVANTAGES', 'DISADVANTAGES']
35;['CF', 'PATIENT', 'FOUND', 'CONSISTENTLY', 'NORMAL', 'SWEAT', 'TESTS']
